question,option1,option2,option3,option4,correctAnswer,explanation,difficulty,practiceArea
Magistrate may dispense with personal attendance of accused under Section ....... of Cr.P.C,201,204,205,200,205,null,Basic,Cr. P. C. (Criminal Procedure Code)
The Supreme Court invoked the principle of Transformative Constitutionalism' in the case of,Navtej Singh Johar Vs Union of India (2018),Suresh Kumar Koushal Vs Naz Foundation (2010),"Naz Foundation Vs Government of NCT of Delhi, (2009)","Aruna Roy Vs Union of India, (2002)", Navtej Singh Johar Vs Union of India (2018),null,Advance,Constitutional Law
The provisions of Indian Penal Code apply also to any offence committed by,any citizen of India in any place without and beyond India;,any person on any ship or aircraft registered in India wherever it may be,any person in any place without and beyond India committing offence targeting a computer resource located in India.,All of the above, All of the above,null,Intermediate,I. P. C. (Indian Penal Code)
Section 105 (H) of Cr.P.C deals,Forfeiture of property in certain cases.,Notice of forfeiture of property,Management of properties seized or forfeited,Identifying unlawfully acquired property, Forfeiture of property in certain cases.,null,Basic,Cr. P. C. (Criminal Procedure Code)
Bar to taking cognizance after lapse of the period of limitation is dealt under,Section 178 of Cr. P.C.,Section 469 of Cr. P.C.,Section 478 of Cr. P.C.,Section 168 of Cr. P.C., Section 469 of Cr. P.C.,null,Intermediate,Cr. P. C. (Criminal Procedure Code)
"""decree-holder"" means",any person in whose favour a decree has been passed or an order capable of execution has been made,any person in whose favour a decree has been passed or an order incapable of execution has been made,any Citizen in whose favour a decree has been passed or an order capable of execution has. been made,any corporation in whose favour a decree has been passed or an order capable of execution has been made, any person in whose favour a decree has been passed or an order capable of execution has been made,null,Intermediate,C. P. C. (Code of Civil Procedure)
Under the Patent Act which of the following are not patentable?,a method of agriculture horticulture,a presentation of information,topography of integrated circuits,All of the above, All of the above,null,Advance,Intellectual Property Laws 
World Intellectual Property Organization (WIPO) has replaced pre- existing,GATT,BIRPI,TPRM,PCT, BIRPI,null,Advance,Intellectual Property Laws 
"Anuradha Bhasin Vs Union of India on 10 January, 2020 relates to a challenge under Article 32 of the Constitution seeking issuance of an appropriate writ",for setting aside orders of the Government by which all modes of communication including Internet have been shut down in J&K,for setting aside orders of the Government by which private property was sought to be acquired in J&K,for setting aside orders of the Government by which J&K was constituted as a UT,for setting aside orders of the Government by which Ladakh was separated., for setting aside orders of the Government by which all modes of communication including Internet have been shut down in J&K,null,Advance,Constitutional Law
Section 66A of the Information Technology Act was struck down under Art. 19(1) (a) read with Article 19 (2) in the case of,Justice K. S. Puttaswamy Vs Union of India,Kharak singh Vs State of U.P.,Govinda Vs State of M.P.,Shreya Singhal Vs Union of India, Shreya Singhal Vs Union of India,null,Advance,Cyber Law
Article 145(3) of the Indian Constitution states that The minimum number of Judges who are to sit for the purpose of deciding any case involving a substantial question of law as to the interpretation of this Constitution or for the purpose of hearing any reference under Article 143 shall be....,Two,Three,Five,Nine, Five,null,Intermediate,Constitutional Law
The utility of Public Interest Litigation,Liberalised locus standi,The proceedings are non-Adversarial,Procedural requirements are liberalized,All of the above, All of the above,null,Advance,Environmental Law
"The petitioner, a professor of political science who had done substantial research and deeply interested in ensuring proper implementation of the constitutional provisions, challenged the practice followed by the state of Bihar in repromulgating a number of ordinances without getting the approval of the legislature. The court held that the petitioner as a member of public has 'sufficient interest' to maintain a petition under Article 32- This relates to the case of","Parmanand Katara Vs Union of India AIR 1989, SC 2039","D.C.Wadhwa Vs State of Bihar, AIR 1987 SC 579",Neeraja Choudhari Vs State of Madhya Pradesh AIR 1984SC1099,"Chameli Singh Vs State of U.P. AIR 1996,SC1051"," D.C.Wadhwa Vs State of Bihar, AIR 1987 SC 579",null,Advance,Constitutional Law
"Where a legal wrong or a legal injury is caused to a person or to a determinate class of persons by reason of violation of any constitutional or legal right or any burden is imposed in contravention of any constitutional or legal provision or without authority of law or any such legal wrong or legal injury or illegal burden is threatened and such person or determinate class of persons by reasons of poverty, helplessness or disability or socially or economically disadvantaged position unable to approach the court for relief, any member of public can maintain an application for an appropriate direction, order or writ in the High Court under Article 226 and in case any breach of fundamental rights of such persons or determinate class of persons, in this court under Article 32 seeking judicial redress for the legal wrong or legal injury caused to such person or determinate class of persons."" - Justice Bhagwati in the case of",Peoples Union for Democratic Rights Vs Union of India,Ashok Kumar Pandey Vs State of West Bengal,S. P. Gupta Vs Union of India,Janata Dal Vs H. S. Chowdhary, S. P. Gupta Vs Union of India,null,Advance,Constitutional Law
The definition of 'money' under GST law does not include,Letter of Credit,Currency held for numismatic value,Pay order,Traveler cheque, Currency held for numismatic value,null,Intermediate,Law related to Taxation
Under Article 279A GST Council is constituted by,Prime Minister and his Council of Ministers,Respective Governors of the State,The President,A collective body of Union and States, The President,null,Basic,Constitutional Law
The definition of Contract is defined under,Section 2(a) of the Indian Contract Act.,Section 2(h) of the Indian Contract Act.,Section 2(d) of the Indian Contract Act.,Section 2(g) of the Indian Contract Act., Section 2(h) of the Indian Contract Act.,null,Basic,Law of Contract
Voluntarily throwing or attempting to throw acid is an offence punishable under,Section 326 B of the Indian Penal Code,Section 120 B of the Indian Penal Code,Section 509 of the Indian Penal Code,Section 295B of the Indian Penal Code, Section 326 B of the Indian Penal Code,null,Intermediate,I. P. C. (Indian Penal Code)
"A is at work with a hatchet; the head flies off and kills a man who is standing by. Here, if there was no want of proper caution on the part of A, his act is",An Offence of murder,An offence of Culpable homicide,Not an offence,An Offence of causing grievous hurt, Not an offence,null,Intermediate,Cr. P. C. (Criminal Procedure Code)
"A, with the intention of causing Z to be convicted of a criminal conspiracy, writes a letter in imitation of Z's handwriting, purporting to be addressed to an accomplice in such criminal conspiracy, and puts the letter in a place which he knows that the officers of the police are likely to search-A has committed an Offence under",Section 256 of IPC,Section 192 of IPC,Section 195 A of IPC,Section 201(a)of IPC, Section 192 of IPC,null,Intermediate,I. P. C. (Indian Penal Code)
"India, that is Bharat, shall be a",Federation of States,quasi federal,Union of states,Unitary state of a special type, Union of states,null,Basic,Constitutional Law
"In M.C. Mehta Vs. Union of India, AIR 1987 SC1086 (Sri Ram Fertilizers case) the court held that",In escape of toxic gas the enterprise is strictly and absolutely liable to compensate all those who are affected by the accident and such liability is not subject to any of the exceptions which operate vis-a-vis the tortious principle of strict liability.,In escape of a dangerous animal the owner is strictly and absolutely liable to compensate all those who are affected by the accident and such liability is not subject to any of the exceptions which operate vis-a-vis the tortious principle of strict liability.,In escape of toxic gas the enterprise is strictly liable to compensate all those who are affected by the accident and such liability is subject to any of the exceptions which operate vis-a-vis the tortious principle of strict liability,A company or a corporation is not a state and hence not liable for leak of toxic gas affecting the health of the people, In escape of toxic gas the enterprise is strictly and absolutely liable to compensate all those who are affected by the accident and such liability is not subject to any of the exceptions which operate vis-a-vis the tortious principle of strict liability.,null,Advance,Law of Tort
"Under Section 70 of the Indian Contract Act, Where a person lawfully does anything for another person, or delivers anything to him, not intending to do so gratuitously, and such other person enjoys the benefit thereof, the latter is bound to make compensation to the former in respect of, or to restore, the thing so done or delivered. This principle is known as",A Contract of Uberrimae fide,Implied Agency,Quantum meruit,De nova contract, Quantum meruit,null,Intermediate,Law of Contract
Agreement is,a promise or set of promises forming consideration to each other,enforceable by law,enforceable contract,Un enforceable by law, a promise or set of promises forming consideration to each other,null,Basic,Law of Contract
"Under the Land Acquisition Act, the expression ""land"" includes",benefits to arise out of land,things attached to the earth,things permanently fastened to anything attached to the earth,All of the above, All of the above,null,Intermediate,Land Acquisition Act
"Temporary occupation of waste or arable land, procedure when difference as to compensation exists is provided under",Section 32 of Land Acquisition Act,Section 30 of Land Acquisition Act,Section 35 of Land Acquisition Act,Section 31 of Land Acquisition Act, Section 35 of Land Acquisition Act,null,Basic,Land Acquisition Act
Suits by indigent persons is dealt under,Order 44 of C.P.C,Order 33 of C.P.C,Order 55 of C.P.C,Order 22 of C.P.C, Order 33 of C.P.C,null,Basic,C. P. C. (Code of Civil Procedure)
"Res gestae, Relevancy of facts forming part of same transaction is dealt under",Section 6 of the Evidence Act,Section 17 of the Evidence Act,Section 18 of the Evidence Act,Section 20 of the Evidence Act, Section 6 of the Evidence Act,null,Basic,Evidence Act 
"Among other things, the Function of Bar council of India includes laying down standards of professional conduct and etiquette for advocates. - Under which section of the Advocates Act",Section 7,Section 8,Section 9,Section 6, Section 7,null,Intermediate,Professional Ethics & Cases of Professional Misconduct
"According to Justice 'Abbot Parry' what are the ""Seven Lamps of Advocacy"".","(i) Honesty (ii) Courage (iii) professionalism (iv) Wit (v) Eloquence, (vi) Judgment and (vii) Fellowship.","(i) Honesty (ii) Courage (iii) Industry (iv) Wit (v) Eloquence, (vi) Judgment and (vii) Fellowship.","(i) influence (ii) Courage (iii) Industry (iv) Wit (v) Eloquence, (vi) Judgment and (vii) Fellowship.","(i) Honesty (ii) Courage (iii) Industry (iv) seriousness (v) Eloquence, (vi) Judgment and (vii) Fellowship."," (i) Honesty (ii) Courage (iii) Industry (iv) Wit (v) Eloquence, (vi) Judgment and (vii) Fellowship.",null,Advance,Professional Ethics & Cases of Professional Misconduct
Minimum number of Directors in a Public company,3,10,12,5,3,null,Intermediate,Company Law
"An associate company, in relation to another company, means","a company in which that other company has a significant influence, but which is a subsidiary company of the company having such influence and includes a joint venture company","a company in which that other company has a significant influence, but which is not a subsidiary company of the company having such influence and includes a joint venture company","a company in which that other company has a significant influence, but which is not a subsidiary company of the company having such influence and does not include a joint venture company","a company in which that other company has full shares, and is a subsidiary company of the company having such influence and includes a joint venture company"," a company in which that other company has a significant influence, but which is not a subsidiary company of the company having such influence and includes a joint venture company",null,Advance,Company Law
The Supreme Court has legalised living wills and passive euthanasia subject to certain conditions in the case of,Aruna Ramachandra Shanbaug Vs Union of India (2011),"Common Cause Vs Union of India, (2018) 5 SCC 1.",Gian Kaur Vs State of Punjab (1996),D Chenna Jagadeeswar Vs State of A.P. (1988)," Common Cause Vs Union of India, (2018) 5 SCC 1.",null,Advance,Constitutional Law
Article 310 of the Constitution mentions about,Doctrine of Immunities and Instrumentalities with reference to civil servants,Doctrine of legitimate expectation with reference to civil servants,Doctrine of natural justice with reference to civil servants,Doctrine of pleasure with reference to civil servants is, Doctrine of pleasure with reference to civil servants is,null,Basic,Constitutional Law
Right to know the antecedents of the candidates in the election flow from,Article 19 (1) (a),Article 20,Article 13,Article 14, Article 19  (a),null,Intermediate,Constitutional Law
"In the Preamble of the Indian Constitution, the expression 'liberty' is followed by the words",of status and opportunity,"of thought, expression, belief, faith and worship",Assuring the dignity of the individual,"Justice, social economic and political"," of thought, expression, belief, faith and worship",null,Advance,Constitutional Law
"According to Income Tax Act ""zero coupon bond"" means a bond","issued by any infrastructure capital company or infrastructure capital fund or public sector company or scheduled bank on or after the 1st day of June, 2005;",in respect of which no payment and benefit is received or receivable before maturity or redemption from infrastructure capital company or infrastructure capital fund or public sector company or scheduled bank,"which the Central Government may, by notification in the Official Gazette, specify in this behalf.",All of the above, All of the above,null,Advance,Law related to Taxation 
Provisions relating to GST are inserted in the Constitution by,The Constitution (one hundred and first) Act 2016,The Constitution (one hundred and second) Act 2016,The Constitution (eighty fourth) Act 2016,The Constitution (seventy-seven) Act 2016, The Constitution (one hundred and first) Act 2016,null,Intermediate,Constitutional Law
"A is accused of waging war against the Government of India by taking part in an armed insurrection in which property is destroyed, troops are attacked, and goals are broken open. The occurrence of these facts is relevant, as forming part of the general transaction, though A may not have been present at all of them. - under which section of the India Evidence Act.",Section 12,Section 6,Section 3,Section 5, Section 6,null,Intermediate,Evidence Act 
Section 110 of the Evidence Act deals with,Documentary Evidence,Exclusion of Oral Evidence,Burden of proof as to ownership,Proof of guilt., Burden of proof as to ownership,null,Basic,Evidence Act 
Section 113 (a) of the Evidence Act deals with,Presumption as to abetment of murder,Presumption as to rape and abetment of suicide by a woman,Presumption as to abetment of kidnap of a girl,Presumption as to abetment of suicide by a married woman, Presumption as to abetment of suicide by a married woman,null,Advance,Evidence Act 
In which of the following case the offence of sedition was in issue,Queen Empress Vs Bal Gangadhar Tilak,Niharendu Dutt Mazumdar Vs Emperor,Kedar Nath singh Vs State of Bihar,All of the above, All of the above,null,Advance,Cr. P. C. (Criminal Procedure Code)
"Deliberate and malicious acts, intended to outrage religious feelings of any class by insulting its religion or religious beliefs. - is an offence under",Section 295,Section 295A,Section 265A,Section 276, Section 295A,null,Intermediate,Cr. P. C. (Criminal Procedure Code)
Under Section 29 of Cr.P.C. The Court of a Chief Judicial Magistrate may pass any sentence authorized by law except,A sentence of death,Imprisonment for life,Imprisonment for a term exceeding seven years.,All of the above, All of the above,null,Basic,Cr. P. C. (Criminal Procedure Code)
Provision regarding filing of suits by an alien under the Code of Civil procedure is dealt under,Section 21A,Section 15,Section 218,Section 83, Section 83,null,Intermediate,C. P. C. (Code of Civil Procedure)
"An order issued by court under Civil Procedure Code 1908 as per order XXI, rule 46, for recovery of amount due to judgment creditor - is known as",IT Order,Garnishee Order,Decree Holder order,Bank Order, Garnishee Order,null,Intermediate,C. P. C. (Code of Civil Procedure)
"Section 88 read with Order XXXV of the Code of Civil Procedure, 1908 deals with",Interpleader suit,Interlocutory Order,Restitution Order,Attachment Order, Interpleader suit,null,Intermediate,C. P. C. (Code of Civil Procedure)
Vis major means,Act of God,Act of Individual,Act of other party,Act of plaintiff, Act of God,null,Advance,Law of Tort
According to Classical doctrine of Act of State in law of Torts means,"an act of the sovereign power of a country, that cannot be challenged, controlled or interfered with by municipal courts","an act of the Judiciary of a country, that cannot be challenged, controlled or interfered with by municipal courts","an act of the sovereign power of a country, that can be challenged, controlled or interfered with by municipal courts",None of the above," an act of the sovereign power of a country, that cannot be challenged, controlled or interfered with by municipal courts",null,Advance,Law of Tort
"In Torts, all persons who aid, or counsel, or direct or join in the committal of a wrongful act, are known as",Abettors,Joint tortfessors.,Tort holders,Tort holders in common, Joint tortfessors.,null,Advance,Law of Tort
M.C. Mehta Vs Union of India 1986 Shriram food and Fertilisers case relates to,Olieum Gas leak,Ganga water cleaning,Child labour,Bonded labour, Olieum Gas leak,null,Advance,Environmental Law
A. K. Kraipak Vs Union of India relates to,Likelihood of Bias,Delegated Legislation,Administrative Discretion,Notice, Likelihood of Bias,null,Advance,Constitutional Law
Judicial control of Delegated Legislation may be exercised on the ground of,Doctrine of Ultravires,Malafides,Exclusion of Judicial Review,All of the above, All of the above,null,Advance,Constitutional Law
The principle of Res Judicata is dealt under Section ---- of CPC,9,10,11,12,11,null,Basic,C. P. C. (Code of Civil Procedure)
Section 14 of the C.P.C. deals with,Presumption as to decisions of tribunals,Presumption judgments as to foreign,Presumption as to judgments of the lower court,Presumption as to judgments of High Court, Presumption judgments as to foreign,null,Basic,C. P. C. (Code of Civil Procedure)
"A, residing in Delhi, publishes in Kolkata statements defamatory of B. B may sue A",Only in Delhi,Only in Kolkata,in both the place of Delhi and Kolkata,either in Kolkata or in Delhi., either in Kolkata or in Delhi.,null,Advance,Law of Tort
"""Mere illegality of the strike does not per se spell unjustifiability"" - Justice Krishna lyer. Name the case.",Chandramalai workmen Estate Vs Its,"Associated Cement Ltd., Vs Their workmen",Gujarat Steel Tubes Vs Gujarat Steel Tubes Mazdoor Sabha,"Indian General Navigation of Railway Co. Ltd., Vs Their workmen", Gujarat Steel Tubes Vs Gujarat Steel Tubes Mazdoor Sabha,null,Advance,Constitutional Law
A workman aggrieved by the order of ............... may directly make an application to the labour court or tribunal for adjudication of the dispute and the court/tribunal is empowered to adjudicate such dispute as it had been referred to it by the appropriate government,"Dismissal, discharge and retrenchment","Dismissal, discharge, retrenchment or otherwise termination of service",Discharge simpliciter exclusively,Dismissal and retrenchment exclusively," Dismissal, discharge, retrenchment or otherwise termination of service",null,Advance,Labour & Industrial Law
The national consumer dispute redressal commission was constituted in the year,1988,1998,1999,1997,1988,null,Advance,Consumer Protection Act
"What is the limitation period applicable to the three forums in entertaining a complaint under The Consumer Protection Act, 1986",3 years from the date on which the cause of action has arisen,5 years from the date on which the cause of action has arisen,4 years from the date on which the cause of action has arisen,2 years from the date on which the cause of action has arisen, 2 years from the date on which the cause of action has arisen,null,Intermediate,Consumer Protection Act
"Under Section 82 of the Indian Penal Code, nothing is an offence which is done by a child under the age of.",14 years,7 years,18 years,21 years, 7 years,null,Basic,I. P. C. (Indian Penal Code)
R. V. Dudley & Stephen stands for the principle that,Killing an innocent life to save his own is not a defence and necessity cannot be pleaded as a defence against murder,"Necessity can be pleaded as a defence against murder, killing an innocent life to save his own may become inevitable",Killing out of mercy is a defence and necessity cannot be pleaded as a defence against murder.,None of the above, Killing an innocent life to save his own is not a defence and necessity cannot be pleaded as a defence against murder,null,Advance,Cr. P. C. (Criminal Procedure Code)
"On and from the commencement of the Hindu Succession (Amendment) Act, 2005, in a Joint Hindu family governed by the Mitakshara law, conferring on daughter coparcenary status by substituting new section for",Section 6,section 10,Section 11,Section 13, Section 6,null,Basic,Family Law
Section 5 of Hindu Marriage Act relates to,Void marriages,Voidable marriages,Ceremonies of Hindu marriage,Conditions of Hindu marriage, Conditions of Hindu marriage,null,Basic,Family Law
A marriage between a girl of 22 years marries her maternal uncles son of 23 years in accordance with the Special Marriage Act. Such marriage is,Valid,Voidable,Void,Valid only in north India, Void,null,Basic,Family Law
